fold,target,train_rows,test_rows,train_date_max,test_date_min,test_date_max,mae,rmse
0,strikeouts,3795,3795,2023-08-02,2023-08-02,2024-05-29,1.7464989098716308,2.211532186215805
0,walks,3795,3795,2023-08-02,2023-08-02,2024-05-29,1.0364670466284427,1.283474739029997
0,hits_allowed,3795,3795,2023-08-02,2023-08-02,2024-05-29,1.7423982268518974,2.166205868095727
1,strikeouts,7590,3795,2024-05-29,2024-05-29,2025-03-18,1.7938441005511525,2.2298038840711305
1,walks,7590,3795,2024-05-29,2024-05-29,2025-03-18,0.9604095178850586,1.1871542614647874
1,hits_allowed,7590,3795,2024-05-29,2024-05-29,2025-03-18,1.7489616031136606,2.180888740023787
2,strikeouts,11385,3795,2025-03-18,2025-03-18,2025-07-30,1.7520836410213472,2.2086388839438142
2,walks,11385,3795,2025-03-18,2025-03-18,2025-07-30,1.032890471035635,1.2694868473602217
2,hits_allowed,11385,3795,2025-03-18,2025-03-18,2025-07-30,1.7255563946819945,2.1258124103260445
3,strikeouts,15180,3795,2025-07-30,2025-07-30,2026-05-31,1.7654402679295178,2.2140084937864803
3,walks,15180,3795,2025-07-30,2025-07-30,2026-05-31,1.0069742737132286,1.249405925184856
3,hits_allowed,15180,3795,2025-07-30,2025-07-30,2026-05-31,1.700494117206053,2.1239715460158273
