benchmark,n,brier,log_loss,mean_pred,actual
usual4_consensus_common,2933,0.2482307798850783,0.6895959640673592,0.4926498239806694,0.49028298670303444
betonlineag,2933,0.24823960347793092,0.6896061207191656,0.4925019545480175,0.49028298670303444
sharp3_consensus_common,2948,0.24826090119195818,0.6896582962579125,0.49211921236996203,0.4908412483039349
sharp3_common_betonlineag,2948,0.24829048694623856,0.6897098661580072,0.49253189377598156,0.4908412483039349
fanduel,2933,0.24832254574071846,0.6897840178710685,0.4934834126922834,0.49028298670303444
pinnacle,2933,0.24837519754478837,0.6898956141952838,0.4902256349518742,0.49028298670303444
sharp3_common_fanduel,2948,0.24839665999777472,0.6899365162675863,0.49353622914344525,0.4908412483039349
sharp3_common_pinnacle,2948,0.24841620292722094,0.6899788173233544,0.49028951419045946,0.4908412483039349
draftkings,2933,0.24848893424227692,0.6901170577846205,0.4943882937305024,0.49028298670303444
