benchmark,bucket,n,mean_pred_over_pct,actual_over_pct,abs_error_pp
consensus_all,"[0.25, 0.3)",1089,27.65633853026317,28.92561983471074,1.2692813044475726
consensus_all,"[0.3, 0.35)",955,32.41785276224537,30.261780104712045,2.1560726575333202
consensus_all,"[0.35, 0.4)",801,37.27440493990381,36.079900124843945,1.1945048150598658
consensus_all,"[0.4, 0.45)",1109,42.75320151462477,42.20018034265104,0.5530211719737332
consensus_all,"[0.45, 0.5)",992,47.409424876092665,46.975806451612904,0.4336184244797592
consensus_all,"[0.5, 0.55)",956,52.499986209437,51.569037656903774,0.9309485525332284
consensus_all,"[0.55, 0.6)",940,57.41939572767626,59.04255319148937,1.6231574638131074
consensus_all,"[0.6, 0.65)",971,62.59312704943998,66.32337796086509,3.730250911425115
consensus_all,"[0.65, 0.7)",914,67.45523873149281,68.27133479212254,0.816096060629723
consensus_all,"[0.7, 0.75)",875,72.1863046022686,72.68571428571428,0.49940968344568404
consensus_all,"[0.75, 0.8)",366,77.30422086919164,79.78142076502732,2.47719989583568
consensus_all_volume_weighted,"[0.25, 0.3)",1070,27.59962427138824,28.317757009345794,0.7181327379575553
consensus_all_volume_weighted,"[0.3, 0.35)",984,32.375839220020204,30.89430894308943,1.4815302769307703
consensus_all_volume_weighted,"[0.35, 0.4)",831,37.29644841936532,35.619735258724425,1.6767131606408914
consensus_all_volume_weighted,"[0.4, 0.45)",1083,42.72292395477814,42.75161588180979,0.0286919270316488
consensus_all_volume_weighted,"[0.45, 0.5)",983,47.40949682263246,47.20244150559512,0.2070553170373468
consensus_all_volume_weighted,"[0.5, 0.55)",978,52.511449690537994,51.124744376278116,1.3867053142598729
consensus_all_volume_weighted,"[0.55, 0.6)",878,57.470304619547555,59.111617312072894,1.641312692525343
consensus_all_volume_weighted,"[0.6, 0.65)",1005,62.53886538335694,66.46766169154229,3.928796308185345
consensus_all_volume_weighted,"[0.65, 0.7)",924,67.45611778175348,67.96536796536796,0.5092501836144847
consensus_all_volume_weighted,"[0.7, 0.75)",874,72.19047882625563,72.99771167048054,0.8072328442249255
consensus_all_volume_weighted,"[0.75, 0.8)",363,77.24305932525243,79.61432506887053,2.3712657436180895
consensus_sharp3,"[0.35, 0.4)",39,39.202883521195034,46.15384615384615,6.950962632651125
consensus_sharp3,"[0.4, 0.45)",849,42.9199965778605,43.69846878680801,0.778472208947506
consensus_sharp3,"[0.45, 0.5)",977,47.393229483121125,47.79938587512794,0.40615639200681786
consensus_sharp3,"[0.5, 0.55)",919,52.453428644896775,50.16322089227421,2.290207752622564
consensus_sharp3,"[0.55, 0.6)",561,56.88953951438862,57.75401069518716,0.8644711807985428
consensus_sharp3,"[0.6, 0.65)",21,60.94688548436119,66.66666666666666,5.719781182305472
consensus_sharp3_volume_weighted,"[0.35, 0.4)",39,39.20629304065112,46.15384615384615,6.947553113195037
consensus_sharp3_volume_weighted,"[0.4, 0.45)",848,42.91948486994867,43.63207547169811,0.7125906017494466
consensus_sharp3_volume_weighted,"[0.45, 0.5)",978,47.391694448033306,47.85276073619632,0.46106628816301454
consensus_sharp3_volume_weighted,"[0.5, 0.55)",919,52.45374902205403,50.16322089227421,2.290528129779823
consensus_sharp3_volume_weighted,"[0.55, 0.6)",561,56.88906646362489,57.75401069518716,0.8649442315622702
consensus_sharp3_volume_weighted,"[0.6, 0.65)",21,60.942232753412085,66.66666666666666,5.724433913254579
consensus_usual4,"[0.35, 0.4)",34,39.14704213263825,47.05882352941176,7.911781396773515
consensus_usual4,"[0.4, 0.45)",882,42.977301288674326,43.31065759637188,0.33335630769755764
consensus_usual4,"[0.45, 0.5)",981,47.43604107946162,47.298674821610604,0.13736625785101264
consensus_usual4,"[0.5, 0.55)",916,52.46342453347979,51.09170305676856,1.3717214767112296
consensus_usual4,"[0.55, 0.6)",610,56.89509053982281,57.049180327868854,0.15408978804604123
consensus_usual4_volume_weighted,"[0.35, 0.4)",35,39.178268929781446,48.57142857142857,9.393159641647125
consensus_usual4_volume_weighted,"[0.4, 0.45)",879,42.978831459280755,43.344709897610926,0.3658784383301694
consensus_usual4_volume_weighted,"[0.45, 0.5)",984,47.43517011127208,47.15447154471545,0.28069856655663084
consensus_usual4_volume_weighted,"[0.5, 0.55)",916,52.469776008769166,51.09170305676856,1.3780729520006085
consensus_usual4_volume_weighted,"[0.55, 0.6)",609,56.89715824961142,57.14285714285714,0.24569889324571603
