section,n,mean_clv_pp,ci95_low,ci95_high,positive_clv_pct,under_win_pct
ALL,964.0,1.6446244878918705,1.4474049641255333,1.8418440116582078,68.46473029045643,47.5103734439834
SEASON_2025,714.0,1.4995311406288023,1.2709018422208285,1.7281604390367762,67.08683473389355,46.358543417366946
SEASON_2026,250.0,2.0590110876751933,1.6730130153223375,2.4450091600280492,72.39999999999999,50.8
OVER_BUCKET_-175+,8.0,2.2898008176637363,0.5178398817402945,4.061761753587178,87.5,50.0
OVER_BUCKET_-160 to -174,119.0,2.2174115769901106,1.7167307001098742,2.718092453870347,85.71428571428571,47.89915966386555
OVER_BUCKET_-150 to -159,284.0,2.2851683360055466,1.933031413749134,2.6373052582619594,77.46478873239437,45.42253521126761
OVER_BUCKET_-140 to -149,553.0,1.1830738059657415,0.9184057088872444,1.4477419030442387,59.85533453887884,48.4629294755877
LINE_BUCKET_<=3.5,322.0,1.5234256653739522,1.1870751299071298,1.8597762008407746,68.94409937888199,46.273291925465834
LINE_BUCKET_4.5,356.0,1.900145922036934,1.567992881576548,2.23229896249732,69.10112359550563,48.31460674157304
LINE_BUCKET_5.5,194.0,1.54436031333886,1.1091262755966373,1.9795943510810825,70.61855670103093,45.36082474226804
LINE_BUCKET_6.5+,92.0,1.2914901417876437,0.6713274509868752,1.9116528325884121,59.78260869565217,53.2608695652174
SHARP_CLV_negative_or_zero,304.0,-1.5213572411953455,-1.6717226970900496,-1.3709917853006415,0.0,42.76315789473684
SHARP_CLV_positive,660.0,3.1028948600774973,2.9056141507450453,3.3001755694099493,100.0,49.696969696969695
