date,pitcher,line,side,entry_cents,sharp_close_no_cents,sharp_clv_pp,match_type,kalshi_clv_pp,result,actual_ks
2026-06-15,J.T. Ginn,4.5,UNDER,43.0,43.297422610118645,0.2974226101186445,exact,7.105427357601002e-15,,
2026-06-15,Jared Jones,4.5,UNDER,42.0,41.923394524550595,-0.0766054754494049,exact,7.105427357601002e-15,,
2026-06-15,Ryan Gusto,3.5,UNDER,40.0,49.19057833178194,9.190578331781944,exact,7.0,,
2026-06-15,Ryne Nelson,4.5,UNDER,43.0,42.483660130718945,-0.5163398692810546,exact,1.999999999999993,,
2026-06-15,Shota Imanaga,5.5,UNDER,43.0,58.78215834393148,15.782158343931478,nearest,0.9999999999999928,,
2026-06-16,Andre Pallante,3.5,UNDER,46.0,43.832841450849585,-2.1671585491504146,exact,-3.999999999999993,,
2026-06-16,Drew Rasmussen,4.5,UNDER,39.0,53.2258064516129,14.225806451612897,nearest,-4.0,,
2026-06-16,Justin Wrobleski,3.5,UNDER,40.0,42.27152079168988,2.2715207916898805,exact,-1.0,,
2026-06-16,Kodai Senga,4.5,UNDER,41.0,41.70324846356453,0.7032484635645275,exact,-1.0,,
2026-06-16,Robert Gasser,4.5,UNDER,40.0,41.38449962377727,1.384499623777273,exact,0.0,,
2026-06-17,Eduardo Rodriguez,4.5,UNDER,43.0,39.46978750128356,-3.5302124987164376,exact,-2.0,L,5.0
2026-06-17,George Kirby,5.5,UNDER,41.00000000000001,42.60513948909255,1.6051394890925437,exact,1.0,W,5.0
2026-06-17,Shohei Ohtani,5.5,UNDER,43.0,39.72670536963045,-3.2732946303695485,exact,-7.0,W,5.0
